,Date_reported,Country,y_cases,y_deaths,Cumulative_cases,Cumulative_deaths,Total_Existed,total_tests,School_closing,Workplace_closing,public_events,Stay_at_home,travel_controls,Travel_Ban_Condition,Restaurant_Restriction
239,2020-08-29,Australia,429.0,60.0,25448.0,583.0,4812.0,65183,3,3,2,2,4,1,0
240,2020-08-30,Australia,400.0,55.0,25547.0,600.0,4632.0,65183,3,3,2,2,4,1,0
241,2020-08-31,Australia,372.0,57.0,25670.0,611.0,4471.0,46224,3,3,2,2,4,1,0
242,2020-01-03,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
243,2020-01-04,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
244,2020-01-05,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
245,2020-01-06,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
246,2020-01-07,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
247,2020-01-08,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
248,2020-01-09,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
249,2020-01-10,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
250,2020-01-11,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
251,2020-01-12,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
252,2020-01-13,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
253,2020-01-14,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
254,2020-01-15,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
255,2020-01-16,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
256,2020-01-17,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
257,2020-01-18,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
258,2020-01-19,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
259,2020-01-20,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
260,2020-01-21,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
261,2020-01-22,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
262,2020-01-23,Brazil,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
